01020003	4752
01022C4A	4253
01022C73	3B53
01022C8E	3061
01022C95	5E71
01022C9C	693E
01022CB8	4230
01022CBB	3469
01022CC0	4426
01022D23	5476
01022D3F	3574
01022D44	346B
01022DFC	346A
01022E05	454A
01022E06	4421
01022E6C	5335
01022EF3	3776
01022F1C	4962
01022F86	3F2B
01022F8D	303D
01022F99	516F
01022FB0	3B55
0102301A	5967
0102308A	6C59
01023095	4B39
010230A2	364F
010230A6	585E
010230BA	5042
010230E6	4E70
01023101	4A5C
01023103	466C
01023133	4E68
01023140	563C
0102314A	327D
0102314E	4E6E
0102315C	3D54
0102316F	5667
0102317C	5467
0102319C	4341
01023206	3D7A
0102320D	357E
010232A3	742A
0102335D	565B
0102339C	5450
010233C2	4931
010233D0	683C
010233DD	556D
010233F9	5456
010233FD	4336
0102340C	4A61
01023431	4861
01023436	3955
01023437	3955
0102346D	5524
0102346F	4C52
01023471	483E
0102348F	3D37
010234C0	693B
01023580	3923
010235F3	4A77
0102361C	7357
01023694	742A
01023698	4E7E
010236D8	693F
01023725	4F2D
01023726	353C
010237B5	5D58
010237F4	6345
01023898	496B
0102389C	5F4F
010238B8	3F6E
010238D3	4737
010238FD	4755
01023948	3B61
01023949	656B
0102394D	3D7C
01023957	4959
0102399E	5967
010239A1	3379
010239B8	4B40
010239C0	3A6B
010239E9	5655
01023A0F	6962
01023A44	645B
01023A46	5A24
01023A47	382F
01023A85	4539
01023A86	4931
01023A96	4931
01023AA9	4931
01023AED	433F
01023AF9	6769
01023C5C	6B33
01023C6E	4762
01023C75	5340
01023C83	6367
01023C94	467C
01023CA0	4F2B
01023CB4	3750
01023CDA	433B
01023CE5	3649
01023D11	4177
01023D26	637C
01023D29	643A
01023D32	5421
01023D34	3A23
01023D5E	485C
01023D7D	4E56
01023D7F	4F51
01023D81	6440
01023D83	3331
01023DDD	3D3D
01023DEA	4D74
01023E15	4B2E
01023E6B	3B6B
01023E8C	436C
01023EAF	4A2A
01023F1C	514D
01023F45	3B6E
01023F48	6526
01023F85	6455
01023FD1	385B
0102404A	3B41
0102404C	3044
01024084	3262
01024109	642F
0102414C	4528
0102414D	646E
0102418C	5157
0102418D	3360
0102418E	5456
01024190	3E44
010241B2	5456
010241E1	507E
010241F4	4E75
0102422E	5456
01024263	5456
010242B7	313A
010242EE	4E75
010242F0	567A
010243B9	4E75
010243C1	4E75
010243D0	4043
01024424	4E75
0102442B	4631
0102447E	6C5D
010244C8	4B38
01024522	4926
01024553	522F
01024555	3056
0102457A	3C32
010245B2	3F5D
010245CA	6B3A
010245CB	4546
010245F1	6B3B
01024604	6B39
01024608	5140
01024625	6A72
01024634	4441
01024657	373D
01024668	4A78
0102468C	4F2C
010246B4	4435
01024733	4A28
01024751	3738
010247C4	473B
010247CB	3D46
010247D4	626A
010247D7	5433
010247E7	5D5F
01024815	5073
0102489A	4A5E
0102489C	3640
010248CA	616E
010248F5	3E41
01024908	3A77
010249A6	3060
010249B3	6775
010249F0	457D
010249F2	4543
01024A14	3B37
01024A40	493A
01024AE9	4161
01024B17	702D
01024B21	4630
01024B2E	463F
01024B79	303B
01024B9B	5B54
01024BD3	497A
01024BD4	484B
01024BDB	734F
01024C06	5343
01024C1E	3130
01024C34	4D7E
01024C35	4E37
01024C36	496A
01024C65	6E33
01024C71	5458
01024C99	5B4E
01024C9C	314F
01024DC2	7072
01024DD0	4324
01024DE0	7076
01024E06	7074
01024E0B	3D6A
01024E1F	564C
01024E8A	4B3B
01024EE8	3B3E
01024EF2	4146
01024F29	396F
01024F2A	3547
01024F37	3547
01024F50	4648
01025039	7542
01025044	535B
01025049	6E42
0102506A	434F
01025070	434B
010250AF	5D4F
010250E9	515B
010250F3	6D6C
01025122	4F60
0102516D	4A53
01025171	4A21
010252BC	6E2A
010252CD	4B2F
01025312	6E2D
0102531D	6E29
0102536F	6F54
0102537F	365C
01025384	4739
010253BF	562A
010253F5	4176
01025417	6D3E
0102543A	6D46
0102544A	446B
010254CB	5150
010254CF	5C24
010254D3	312E
01025510	3F44
01025553	442E
0102555A	5C7D
01025566	6D5E
01025571	4570
01025574	4079
010255F7	5537
01025614	5456
01025616	4D37
0102564A	3C40
0102564D	4971
010256DC	5766
01025731	4B6E
01025750	317C
01025757	5C3B
01025762	407B
01025777	387B
010257AB	4A72
0102583C	4758
01025877	4E48
01025893	4A5A
0102592F	3E3F
0102593E	474F
01025949	6136
01025963	542B
0102598E	3176
0102599C	5C21
010259CA	5C25
010259E8	3176
01025A12	345C
01025A50	713C
01025A60	553E
01025A73	347D
01025AE1	7344
01025B16	4624
01025B30	3261
01025B8F	3564
01025BD2	5454
01025CE6	4B71
01025D8E	5D4F
01025DDF	5D4F
01025E6A	7456
01025E9E	5660
01025EC6	4B5A
01025ED5	7456
01025F3E	7456
01025F86	3E40
01025F91	343F
01025FA0	4852
01025FA1	5124
01025FA8	667C
01025FBA	575D
01025FC9	4D60
01025FD1	425A
01025FD3	3C4D
01025FF3	4F38
01026007	3E2D
0102601F	4934
01026065	6D69
010260B2	6D69
010260B3	3D74
010260B5	575D
010260B6	6732
010260C5	4267
010260E7	314C
010260F0	497E
01026132	4B75
0102614D	6750
01026167	6D69
01026196	6754
010261AB	3073
010261C4	405C
010261DA	524D
010261FB	3B3A
01026247	463F
010262DA	5556
010262E7	4A70
01026310	6E3E
01026334	425E
0102633F	7527
0102638B	7574
010263A4	7737
010263C1	744B
010263E0	3861
010263F2	5370
0102641C	3464
0102642C	7462
0102644A	6C3A
0102648B	3A32
010264A1	303F
010264A2	303F
010264B1	3F3C
010264BF	6A48
010264D4	5068
0102657C	4144
010265F7	717A
0102661F	5558
0102663B	6B41
0102665B	6B46
01026669	6B48
0102666D	4C5B
01026675	4D73
01026676	3949
010266C1	4454
01026709	4622
01026721	564B
01026736	3072
01026769	4E38
0102676B	517C
0102676D	4060
010267A4	5836
010267A7	4176
010267AC	6B6C
010267B5	3B29
010267DD	3C39
010267E6	4424
010267EF	405F
010267F3	7536
0102681D	4176
010268DE	5243
010268EE	3942
010268FA	3057
01026900	3374
01026903	3B4A
0102690C	745F
01026913	3147
01026933	5641
0102693F	4E5D
01026946	4E55
01026947	5569
01026959	5237
0102695D	5228
01026967	3161
0102699A	527A
010269B6	4840
010269CA	4B31
01026A31	3D72
01026A85	4D27
01026B0A	5C3B
01026B21	5D4D
01026B42	5D51
01026B82	5D69
01026B8F	344E
01026BD3	5D4F
01026BED	3671
01026BF1	3671
01026BF8	5C3B
01026C52	5C59
01026C54	314D
01026C64	442A
01026CAD	5D5D
01026CCB	466A
01026CCE	5D4F
01026CF3	5D68
01026D2D	436A
01026D54	5D4F
01026D9C	3671
01026E06	5C3B
01026E0E	5D2A
01026E2F	5D37
01026E32	453A
01026E33	5D6A
01026E88	5D25
01026EB3	5E32
01026EC3	5D48
01026EE5	3746
01026EE6	4C51
01026F0D	5D38
01026F2C	5D4F
01026F48	5D35
01026F67	5D2C
01026F69	4860
01026F94	3E49
01026FAA	5967
01026FB1	332D
01026FB4	5E40
01026FB7	5E24
01026FD8	5D4F
01027009	5465
0102703D	5D4F
0102704E	5967
01027084	5D4C
01027087	5D21
0102708A	5E2F
01027090	3B7D
0102709A	5D4F
010270B0	5D23
010270B1	5E27
010270B2	3E55
010270C8	3E55
010270CD	5967
010270D3	3E55
010270F0	5967
01027117	5D4F
0102714F	5E3C
01027191	5E3D
010271C1	722E
0102720B	5D4B
01027220	5469
01027227	4B64
0102722C	3A67
01027265	3131
010272A1	724B
010272A4	7266
010272A7	3872
01027312	7262
01027332	5629
01027353	7330
01027358	724A
0102735B	533C
0102737F	7251
01027380	7261
01027381	723B
01027382	4F3A
01027397	7272
010273C5	7327
010273CD	724F
010273CF	4779
01027409	5629
0102741B	7273
01027463	724D
010274A6	555D
010274C9	7253
010274CC	5329
010274D2	723E
010274DB	7328
010274F3	724E
01027508	6E43
01027550	7329
01027573	5979
01027599	7239
0102759A	725D
010275CE	5D4F
010275D7	742C
010275D8	5D4F
0102762D	7440
01027669	4151
0102768C	5730
0102768D	7443
0102769C	715D
0102769D	3243
010276E2	6D69
01027744	7160
01027749	6D69
0102777A	5973
010277F6	3054
0102789A	6A6E
010278B1	5054
01027973	4A2B
01027976	5A3F
01027977	467D
0102797A	596A
0102797E	4A36
01027992	5A2E
010279AB	5A31
010279BD	556F
010279BE	3E77
010279CF	5F76
010279E1	4B4F
010279E7	6E3A
010279FF	3D4C
01027A0F	526A
01027A23	5A2B
01027A28	5A57
01027A2D	3C60
01027A42	3079
01027A5B	512F
01027A60	376D
01027A7B	5A41
01027A7D	573B
01027AE7	5A4F
01027AEA	5A4A
01027B04	503B
01027B0D	5A58
01027B2F	6540
01027B33	526B
01027B58	4657
01027BAE	5A64
01027BE1	4D63
01027BFF	5C31
01027CB2	3A7C
01027CC7	3A51
01027D39	6A5B
01027D47	3F36
01027D4E	3C56
01027D69	5470
01027D6A	5474
01027D6E	6A5C
01027D85	3B5F
01027D99	3133
01027D9B	6A63
01027DA1	6535
01027DB4	3644
01027DB6	3737
01027DBB	4333
01027DBD	344D
01027DD5	574A
01027DE4	5853
01027E03	5245
01027E06	5738
01027E0A	393A
01027E11	5479
01027E16	572C
01027E1A	4238
01027E2F	5245
01027E3D	5245
01027E52	4272
01027E5E	7476
01027E79	3363
01027E87	7471
01027EAB	4670
01027F62	322B
01027FA2	5363
01027FC1	6B3E
01027FD6	753C
01027FDB	5759
01027FF6	7549
01028013	455C
0102801F	7562
0102807B	755E
010280DF	7567
010280E1	7555
01028103	756E
01028175	4C24
01028176	546A
0102818D	7571
010281AF	756B
010281B2	4E48
010281E5	653F
010281F1	7564
010281F3	756D
0102822C	477B
01028235	754B
0102823B	5754
01028246	3460
01028247	5456
01028289	3460
010282BE	697E
010282CF	6974
010282FC	4E53
01028307	5661
01028373	6977
0102837B	697D
0102838A	3975
010283B2	697B
010283CF	6A25
010283D1	6979
010283D4	6A24
010283E3	555E
0102840C	5041
0102842B	4629
0102844D	396C
01028450	4679
01028453	4670
01028454	4670
01028456	4670
01028466	506C
01028477	5138
0102848E	6557
010284A6	532D
010284B2	4354
010284C6	4D4B
010284CC	5456
010284DC	525D
010284E7	5223
010284F5	4B4D
0102852A	544B
0102855D	654D
01028589	6560
0102859D	762A
010285A5	555A
010285BD	5245
010285D2	762A
010285D4	5245
010285D5	5771
010285E0	762A
010285ED	5245
010285EE	5245
010285EF	655B
010285F9	3551
01028611	412C
01028624	5245
0102862B	6553
01028636	654E
01028637	6563
01028655	6555
0102865A	4275
0102867C	5B2B
0102868F	5B21
010286A0	3A2A
010286AC	4771
010286C4	575E
010286E6	3F24
010286EB	4068
010286F7	363C
01028725	5B2A
0102872E	4764
01028741	5B28
01028765	4049
0102876E	5B38
01028784	534A
01028787	5B30
01028789	5B32
0102878F	3526
01028796	5B39
010287A1	5B26
010287B3	5866
010287C0	4068
010287F7	752C
010287FB	3D34
01028802	752D
0102880F	752E
01028820	5051
0102882A	576D
01028845	4351
01028860	752F
01028880	3D4D
010288A9	757C
010288AC	7529
010288AD	4B56
010288BD	4B61
010288CB	3457
01028913	3E6C
0102894D	7646
0102894F	382A
01028969	6E54
0102899F	3766
010289AD	6F29
01028A90	6E57
01028AD8	6F49
01028AFC	764B
01028AFD	6E7C
01028B10	6F63
01028B5C	6F5C
01028B5D	6F21
01028B7C	414D
01028B93	6F64
01028BDF	6F6C
01028C24	6E65
01028D01	327B
01028D41	5156
01028D77	6351
01028D9D	5B53
01028DF7	4376
01028E0F	3837
01028E18	486E
01028E1D	4A4F
01028E4E	4F5E
01028E5F	422A
01028EA8	3675
01028EB5	3653
01028EF6	4F36
01028F80	4125
01028FA5	7044
01028FF3	5325
0102900C	406B
01029015	7645
01029018	704E
01029021	4451
01029050	7058
010290EC	5275
0102911F	3028
0102912B	762A
01029145	6468
0102915F	3122
01029186	762A
01029242	584C
0102927C	4970
010292A6	6177
010292B3	392E
010292BF	742A
010292CE	3E73
010292F0	667B
0102933B	315E
01029346	742A
0102940A	6C34
0102942D	5A45
0102944B	5233
0102947C	4644
01029486	3625
01029491	3F74
0102949B	465D
010294B5	476A
010294CB	4035
01029516	4060
0102951A	4E4C
0102951C	4B4C
01029530	4F54
0102953A	422D
01029553	5424
0102958E	5E30
01029593	722D
010295CB	372B
010295D7	6C2B
0102964E	5950
01029681	4A33
0102968A	623D
0102968E	3C22
0102968F	6238
010296B7	4123
010296CA	3125
010296DD	752A
0102970B	6243
01029719	4844
0102972F	6248
01029759	4A48
010297B9	7750
01029810	4A57
0102982E	5967
01029851	7025
0102991D	6670
010299BC	4266
010299D9	6674
010299E2	3352
01029A23	373E
01029A3A	3039
01029A8B	727C
01029AA0	625F
01029AEB	5A70
01029C6C	415C
01029D4B	5363
01029EB4	7729
01029F06	4070
01029F1E	4070
01029FC7	394D
0102A057	513C
0102A069	6F74
0102A0A1	4574
0102A1BE	7048
0102A2A8	7764
0102A2E7	776A
0102A301	4322
0102A311	303E
0102A369	4278
0102A396	4353
0102A424	764F
0102A4A0	7776
0102A4F3	5629
0102A505	5431
0102A5A6	4C69
0102A5C7	466A
0102A5C9	7452
0102A600	4D45
0102A68F	4D45
0102F800	4076
0102F801	4D68
0102F804	4463
0102F805	4E6A
0102F808	545B
0102F809	3138
0102F80A	492E
0102F80B	4F71
0102F80C	3F21
0102F80E	4362
0102F80F	4D43
0102F814	445A
0102F815	5459
0102F816	3261
0102F817	485F
0102F818	5429
0102F819	3179
0102F81A	362C
0102F81B	3F76
0102F81D	5B49
0102F81E	4850
0102F820	3F4C
0102F822	386E
0102F825	5342
0102F826	4363
0102F827	475A
0102F828	4957
0102F829	307C
0102F82A	3452
0102F82B	3131
0102F82C	3B5C
0102F82D	3130
0102F82E	3229
0102F82F	3C34
0102F830	3C34
0102F831	4764
0102F832	4764
0102F833	4764
0102F835	3B52
0102F836	3C30
0102F837	5B45
0102F839	3D50
0102F83A	5F33
0102F83B	5F3A
0102F83D	4E7C
0102F83E	334A
0102F83F	565C
0102F842	4C46
0102F843	4674
0102F845	4946
0102F846	4946
0102F847	6039
0102F849	547B
0102F84B	4D3C
0102F84C	4C3E
0102F84F	4567
0102F850	4750
0102F851	5733
0102F852	3347
0102F853	5B7A
0102F854	5C22
0102F855	504D
0102F857	3128
0102F85A	4274
0102F85B	3A78
0102F85D	3660
0102F85E	434E
0102F85F	495D
0102F862	3C27
0102F863	5369
0102F865	6630
0102F866	383E
0102F867	4929
0102F869	662C
0102F86A	4041
0102F86B	4041
0102F86D	5429
0102F86F	447E
0102F870	3126
0102F872	4A59
0102F873	3D2B
0102F874	3531
0102F875	5E4C
0102F877	4D40
0102F87A	6129
0102F87F	6151
0102F881	5132
0102F882	3332
0102F884	5963
0102F886	4331
0102F88C	6258
0102F88D	4A7C
0102F88E	4048
0102F890	5E43
0102F893	7428
0102F898	524D
0102F899	504E
0102F89D	484C
0102F89E	563E
0102F8A1	3B45
0102F8A3	3B5A
0102F8A6	3448
0102F8A7	3B45
0102F8A8	4977
0102F8A9	3B45
0102F8AB	5477
0102F8AC	4F5C
0102F8AD	375F
0102F8B0	334D
0102F8B1	4041
0102F8B2	3349
0102F8B3	6A29
0102F8B5	3127
0102F8B6	304E
0102F8B7	3E68
0102F8B8	304E
0102F8B9	4D6C
0102F8BA	4634
0102F8BC	4928
0102F8C1	515A
0102F8C3	4426
0102F8C6	332D
0102F8C8	4374
0102F8C9	3E34
0102F8CB	3C48
0102F8CC	4A69
0102F8CD	3D7A
0102F8CF	4A6E
0102F8D2	4330
0102F8D3	4361
0102F8D4	576E
0102F8D5	4655
0102F8D6	6B47
0102F8D8	404A
0102F8D9	4D7B
0102F8DB	683D
0102F8DC	683C
0102F8DF	3955
0102F8E1	4923
0102F8E2	4337
0102F8E3	5524
0102F8E8	692B
0102F8EA	3845
0102F8ED	684E
0102F8EF	344E
0102F8F3	4B6A
0102F8F5	4931
0102F8F6	3F47
0102F8FC	5158
0102F8FF	4E39
0102F900	4549
0102F901	3A23
0102F902	4177
0102F903	3A46
0102F904	3D7E
0102F905	4479
0102F907	555C
0102F908	385B
0102F909	644E
0102F90B	574C
0102F90C	3561
0102F90E	514D
0102F90F	3331
0102F913	652E
0102F915	652D
0102F918	5456
0102F91A	4C3F
0102F91C	6C51
0102F91D	5456
0102F920	6C60
0102F921	3E74
0102F922	5522
0102F923	5140
0102F924	4F2C
0102F928	4C21
0102F929	4D75
0102F92E	6769
0102F92F	6824
0102F932	476D
0102F934	5E28
0102F935	496A
0102F936	675E
0102F938	526C
0102F93A	7075
0102F93D	535B
0102F940	5631
0102F941	6D6C
0102F945	5566
0102F946	5566
0102F947	5566
0102F94C	4A2F
0102F94E	6D4A
0102F94F	4235
0102F953	5766
0102F956	3823
0102F957	6F78
0102F95B	4E48
0102F962	572D
0102F968	745D
0102F969	7456
0102F96A	3C4D
0102F96B	3E40
0102F96E	673B
0102F96F	575C
0102F970	6752
0102F973	463F
0102F979	303F
0102F97A	555F
0102F97F	344F
0102F981	623F
0102F982	537D
0102F983	3460
0102F985	4622
0102F986	6B74
0102F987	4176
0102F988	3B29
0102F98A	5450
0102F98B	7428
0102F98C	742A
0102F98D	3447
0102F98F	5C3B
0102F990	5373
0102F991	5625
0102F992	404D
0102F993	3B28
0102F994	373C
0102F995	513F
0102F996	3F60
0102F998	4874
0102F999	3671
0102F99A	4859
0102F99B	3D5A
0102F99D	4327
0102F99F	5745
0102F9A1	3E55
0102F9A2	3E7A
0102F9A3	324B
0102F9A7	4A5F
0102F9AC	5E28
0102F9AD	5D4F
0102F9B0	332D
0102F9B2	5967
0102F9B3	4530
0102F9B4	4232
0102F9B5	3F77
0102F9B7	723F
0102F9BC	357B
0102F9BD	725C
0102F9C4	5242
0102F9CF	334F
0102F9D0	5A4D
0102F9D1	3164
0102F9D2	7539
0102F9D4	3961
0102F9D5	6A5A
0102F9D6	3853
0102F9D7	4670
0102F9DA	304F
0102F9DB	7542
0102F9DD	3E7C
0102F9DE	696D
0102F9DF	4A64
0102F9E0	762A
0102F9E1	5245
0102F9E3	3531
0102F9E5	4764
0102F9E7	6E60
0102F9EB	6F6A
0102F9EE	3F2A
0102F9F0	4931
0102F9F1	6351
0102F9F6	6468
0102F9FB	6C34
0102F9FE	394B
0102F9FF	394B
0102FA02	3C22
0102FA15	4269
0102FA17	6D69
0102FA18	763C
0102FA19	5629
0102FA1C	3147
0102FA1D	4D45
013405	4E65
013421	4533
013430	5045
013433	5823
013439	586E
013442	3742
013444	4E6A
01345E	6B74
013474	4756
013477	4C2C
01347A	3F21
01349A	4E48
01349E	3F21
0134A4	4965
0134A8	4F49
0134B2	3246
0134B3	413D
0134B6	392B
0134C2	3F5C
0134CA	3634
0134D5	4370
0134DB	3926
0134DC	5357
0134DD	504C
0134F6	6F46
013503	3E78
013518	776D
01351C	322A
01352D	3357
01353A	4A40
01353D	5855
013547	6D47
013551	3378
013555	3B43
013556	4B58
01355A	5726
01355B	5351
01355C	4A37
01355E	4B22
013560	4B2B
013565	5254
013581	415F
0135A0	4447
0135C6	6043
0135CB	3A6D
0135D0	603E
0135D6	6022
0135E4	6052
0135FD	4F6C
01362B	3E33
01362F	3321
013631	4C2E
013634	5778
013637	302C
013641	5B69
013662	5C2C
013672	5B55
01367C	405D
01368C	6237
013690	4C57
0136A2	452B
0136A3	662F
0136B6	6626
0136DB	496F
0136E9	6628
0136EE	4929
0136F0	3B69
0136FD	6629
013711	4645
01373B	662E
01373D	5753
01373E	3A22
013740	3A43
013748	424F
013749	507B
01374A	4A58
01374B	4148
01374C	3E4E
01374D	5034
013756	524B
013759	527A
01375B	4B5E
013761	576E
013762	536E
013767	4E48
01376F	4748
013777	5130
013791	4E32
013795	503C
0137A1	5539
0137A2	562E
0137AF	6128
0137B6	613A
0137B9	6133
0137C1	3036
0137E9	613A
0137ED	613A
0137FA	6150
013800	353A
013810	613D
01381C	615A
01382D	5539
013836	372B
013860	5621
013873	3557
01387F	3362
013898	412E
0138AE	335A
0138B4	4E77
0138BD	367C
0138CB	3524
0138E6	6554
0138EB	362F
0138F2	4E22
0138FC	484C
013900	4D7C
013901	6343
013902	3C31
013903	3741
013905	302E
013907	3043
013913	313F
013919	3677
01391B	6D25
01391F	3F56
013929	6321
01392A	5439
01392C	6D23
013930	6274
01393A	3B45
013943	4346
01395E	6564
013964	7166
013966	632B
013967	4B33
013971	632D
01398D	6335
013994	627B
013996	6D2F
0139A0	6D21
0139A4	5C32
0139AF	3B72
0139B8	6A2A
0139BF	3B27
0139D6	3673
0139F1	4443
013A08	3C37
013A14	3A33
013A17	3D5D
013A23	5335
013A2F	4029
013A41	4836
013A55	4160
013A57	502F
013A66	502F
013A70	332D
013A85	387C
013A9D	3C70
013A9F	3658
013AA3	4743
013AC1	364F
013AC4	4554
013AC5	466C
013ACB	6C39
013AD1	563C
013AD4	745E
013AE7	3129
013AEA	343A
013AF3	333F
013AFA	4E74
013B0C	3E30
013B0D	4658
013B1C	3D7A
013B20	4939
013B25	3129
013B27	3129
013B31	4C66
013B4A	4E76
013B4B	3074
013B4D	4662
013B71	4F3B
013B7B	4C44
013B84	3071
013B8C	435E
013B8E	312D
013BA3	3845
013BAE	3D5B
013BCD	3D30
013BD0	4D56
013BD3	693D
013BDF	4234
013BE6	4665
013BEA	6879
013C09	693B
013C0F	385D
013C10	4D56
013C16	692D
013C1E	604D
013C4F	557D
013C55	3969
013C58	774A
013C68	6967
013C7F	3F47
013C87	5F4B
013C88	4958
013C9C	4C3A
013CAD	4C3A
013CB6	4248
013CB7	352A
013CBE	536A
013CC2	5158
013CC3	3463
013CC5	4177
013CC8	4566
013CD1	5267
013CD2	3728
013CD9	6438
013CED	4F51
013D05	4F7B
013D06	3D7E
013D09	3C43
013D1E	4C4F
013D34	553F
013D3E	3233
013D4E	3D27
013D55	5468
013D71	462F
013D78	652E
013DA4	3334
013DAB	4147
013DB3	3D7D
013DBB	3769
013DC7	3B56
013DCA	3759
013DD4	5166
013DD6	5555
013DD9	3C65
013DE9	4E75
013DF1	505C
013DFB	4E5E
013E00	6C46
013E02	6C5D
013E09	5B46
013E15	3E70
013E18	4D72
013E27	7638
013E60	6B60
013E64	4753
013E83	3937
013E85	3A6F
013E9A	4C21
013EB2	4525
013EB3	4335
013ECE	492A
