01020003	014E14
010213A9	0157C2
010213B0	015880
010213B1	015794
010213B2	0181FA
010213B9	0157D0
010213C3	01366A
01021447	01582E
0102144A	0157F5
0102144F	0158D4
0102145F	017A9D
01021462	01581E
0102148B	0158BD
010214A3	015890
010214B0	0158AC
01021501	015792
0102151B	0158EC
01021584	015916
01021589	015375
0102158A	015919
0102159F	0187AD
010215B7	015924
010215CC	0190FA
010215D5	014EA6
010215DA	0195F9
010215DD	015937
010215E0	015185
010215E8	015943
01021605	013696
01021608	0154ED
01021609	013695
0102160D	0102160D
0102161F	0102160D
0102162B	017A33
01021637	015957
0102165C	01593A
0102168A	0102168A
0102168C	017ED3
01021690	01596D
010216A7	0159A3
010216AE	01597A
010216AF	015AEE
010216B6	015984
010216BA	01597F
010216BC	0159FC
010216BE	0159DD
010216D0	01598E
010216DD	0136D1
010216E2	015A69
01021704	015A9F
01021709	015AA3
0102171D	0159DB
01021729	0159DE
01021734	0159A0
01021736	0159E1
0102174A	015A0E
01021761	013737
01021769	015996
01021791	015A38
010217A1	0136CD
010217A2	015A14
010217A4	015AE5
010217A8	015A00
010217E6	015A1C
010217F1	0159F0
010217FD	0136D7
01021808	015B4B
01021810	015A75
01021814	015A8A
0102181B	01597B
0102181C	015AEB
0102181D	015AE2
0102184D	015AD9
0102184F	015A0B
01021853	015B03
01021855	013727
01021879	015AF3
0102187F	015AE1
01021883	015A34
01021889	015B2C
01021893	015A32
0102189A	015ADA
010218B2	015AE7
010218B4	015AFD
010218C3	015AA6
010218C6	0159A9
010218CC	015AF8
010218EB	015AFC
010218F0	015AF1
010218F1	015B1B
010218F8	015B48
01021900	015998
0102191A	015AD6
01021925	015135
0102192F	015AD8
01021931	01372E
01021932	013724
0102193E	015B59
0102193F	015B54
01021946	01597D
01021947	015B5B
0102195B	016B8A
0102195C	015B57
01021966	015B74
0102197D	015B77
0102198C	015B7B
01021997	015B7A
0102199E	0136D1
010219CA	010219CD
010219CB	018D2B
010219CD	010219CD
010219EA	015B85
010219EB	015B84
010219EE	013754
010219F1	015BB3
01021A09	016BEB
01021A1A	0151A4
01021A1C	015BC2
01021A48	0182D7
01021A7A	015BE3
01021A98	013765
01021B2A	018010
01021B3D	01527D
01021B5D	017C73
01021B5E	015C16
01021B74	019699
01021B90	015C0F
01021C10	010271E0
01021C29	01826F
01021C2C	018EAB
01021C38	015C50
01021C46	015C5E
01021C52	016BBF
01021C91	015C4E
01021C96	01026CCA
01021CA0	017834
01021CA9	015C41
01021CEC	015E90
01021D41	015371
01021D7C	0170AD
01021D8F	015D1B
01021D93	015CB3
01021E20	0157E0
01021E35	015CE5
01021EA1	0176C8
01021F14	015D06
01021F9C	01970D
01021FC1	015DCD
01021FF7	019095
0102200E	016CB3
01022012	015DF1
0102201A	015DE5
01022053	018C55
01022074	017CFB
01022087	015E1D
01022091	0162ED
010220B4	015E1C
010220C1	017ED9
010220EA	015E52
010220F7	01725F
01022116	015F02
0102216D	018970
010221D7	0153A6
010221EB	018982
010221EF	015E9C
0102220E	015E7F
01022256	019E7F
01022259	015EB6
010222BB	018FBD
010222DC	0187B7
01022313	015ED3
01022338	015F08
01022342	019F3B
01022345	015942
0102234E	018BF0
01022357	018A00
0102235C	015C0A
0102236E	015DEB
01022376	01631B
01022381	016B66
010223AE	016C10
010223BA	015F26
010223D8	017FBF
010223F1	015F2D
01022405	015F31
01022413	019535
01022480	01020631
01022495	018BF8
0102249B	0153D8
010224A5	014E29
010224C9	018FD4
010224CA	015F99
010224D8	014F5F
010224DD	014F7B
010224E0	014F81
010224EC	014FD9
010224ED	019021
010224F6	01901A
01022500	014FB5
0102250B	01502F
0102250D	014F7E
0102251A	015FAC
01022547	0150B1
01022555	0150AA
0102257E	01907F
01022598	01022598
010225B9	016084
010225CC	016015
010225CD	015FD7
01022617	0181E3
01022625	016043
0102263B	016089
01022649	01607C
0102264A	016063
01022656	01606C
01022662	016050
01022683	0152A3
01022687	0172C2
01022689	016068
01022690	0160A0
010226B0	01607C
010226C2	0160BC
010226E7	0160DF
01022725	0152FC
0102272A	0160F9
0102273A	0154C0
01022743	0136F3
01022754	01607B
01022772	016101
01022832	013931
01022836	0160A3
01022846	016073
01022865	0160AF
0102287D	0160DC
010228F6	01601C
01022903	01615D
0102292D	0161CD
0102297E	0134A9
010229A1	01611F
010229A9	016210
010229D0	016218
010229E3	015BC1
010229F5	01622A
010229F7	0163B4
010229FE	0170BD
01022A37	016240
01022A4C	0180A9
01022A66	014E2E
01022A84	01637D
01022AB4	0162DA
01022ABB	01627F
01022ABF	018F9C
01022AE6	0162CD
01022AFD	016291
01022AFE	016307
01022B34	016444
01022B38	0162EC
01022B40	0165CB
01022B43	0177ED
01022B4D	0163E3
01022BC7	0163D6
01022BEA	0162C6
01022C07	016328
01022C4A	0163A0
01022C73	016325
01022C8E	01642C
01022C95	0163C6
01022C9C	0169AB
01022CB8	0163B3
01022CBB	0164AE
01022CC0	016469
01022D03	01636E
01022D23	01589E
01022D3F	016389
01022D44	0163AA
01022DF7	0164AF
01022DFC	016413
01022E05	016500
01022E06	016479
01022E24	013A6C
01022E6C	0162E5
01022EF3	016276
01022EF9	013A7A
01022F15	013A86
01022F1C	018D66
01022F85	01021368
01022F86	0163E9
01022F8D	016556
01022F99	01626C
01022FB0	015FBD
01022FBF	019218
0102308A	0171A8
01023095	0165AF
010230A2	0165AD
010230A6	01525E
010230BA	0165B0
010230E6	0152FF
01023101	0153D7
01023103	0165D7
01023128	017948
01023133	01821E
01023140	0165E8
0102314A	01660C
0102314E	016664
0102315C	017686
01023162	01666C
0102316F	01663C
0102317C	0165E9
01023197	013B01
0102319C	016627
01023206	01664B
0102320D	018FED
0102325A	013B15
0102331F	013B21
01023351	0150C8
0102335D	01821F
0102339C	015B55
010233DD	016795
010233FD	01679A
0102340C	0168B3
01023415	016871
01023431	0167D4
0102346F	016843
01023471	0167D3
0102348F	016912
010234C0	01699B
01023580	016897
010235F3	016811
0102361C	017B1E
01023698	01727A
010236D8	0169AD
0102370E	018437
01023723	019202
01023725	016A84
01023726	015BFC
010237B5	01845A
010237F4	0195E9
01023881	013567
01023898	01547B
0102389C	015466
010238B8	016B3E
010238D3	016B20
010238FD	0194A6
0102391A	0191C2
01023948	014F1A
01023949	0154AB
0102394D	018FD1
01023957	015C11
0102397B	018E1C
010239A1	018E87
010239A2	018E83
010239B8	016B7B
010239C0	015F18
010239E9	017EC8
01023A0F	016B81
01023A3B	0185A7
01023A44	016E98
01023A46	0151A5
01023A47	018150
01023A52	0150AE
01023A85	016BB4
01023ACC	013745
01023AED	016BCF
01023B23	0180E1
01023C2B	013CB1
01023C5C	016C24
01023C6E	016C22
01023C75	016C38
01023C83	016C8C
01023C94	016CE3
01023C97	016E4B
01023C98	016F55
01023CA0	016C50
01023CB4	016CB8
01023CDA	016CA1
01023CE5	016E21
01023D11	016D41
01023D26	016CD3
01023D29	016D5C
01023D32	016D74
01023D34	016D77
01023D5E	016EB6
01023D7D	016C83
01023D7F	016D8E
01023D81	016DC5
01023D83	016F6E
01023DDD	016D47
01023DEA	016C6A
01023E15	016C34
01023E6B	016D51
01023E8C	016E3A
01023EAF	016E7F
01023F1C	016DF9
01023F45	016D3B
01023F48	016FE1
01023F5E	0153AC
01023F67	015BD6
01023F85	016E54
01023FD1	016E2F
0102404A	016DA3
0102404C	016FB3
01024084	016D4B
01024109	016D4F
0102414C	016D53
0102414D	016F15
0102418C	01708E
0102418D	018D64
01024190	017078
010241E1	017384
010242B7	017119
010242B9	013DBF
010242BA	0170FC
010242C0	013DE6
010242CF	0171A1
010242F0	0152A9
010243D0	0170C2
0102442B	017968
0102447E	0171E7
010244C8	0170C1
01024522	016414
0102452A	01470C
01024553	017237
01024555	017238
0102457A	0175BE
010245B2	0167AF
010245CA	017252
010245CB	01724C
010245F1	017256
01024604	01724D
01024608	017259
01024625	01725D
01024634	017267
01024657	0165B9
01024668	01675F
0102468C	017280
010246B4	017261
01024733	0172EE
0102473D	018C7D
01024751	0172AF
0102477D	018C84
0102477F	0152BB
010247C4	018154
010247CB	0172E1
010247D4	016005
010247D7	01733F
010247E7	018478
01024815	01755C
0102483E	018C99
01024846	018C75
0102486C	018C77
0102489A	01517D
0102489C	0172EC
010248CA	0172B7
010248F5	017396
01024908	01745A
01024939	013EF7
0102497F	018751
010249A6	0173ED
010249B3	0173F2
010249F0	017435
010249F2	017436
01024A14	0173AF
01024A40	0173CA
01024AE9	0173B2
01024B17	0174E0
01024B21	0174E2
01024B5B	015808
01024B79	0176CE
01024B9B	0158BC
01024BC1	01020BD1
01024BD3	01751F
01024BD4	014EBA
01024BDB	017B19
01024BF3	017526
01024BF7	01845F
01024C06	017528
01024C1E	015351
01024C34	015A01
01024C35	01754F
01024C36	017533
01024C65	01755B
01024C71	018F7D
01024C99	01755A
01024C9C	016BD5
01024CAC	013F6D
01024D05	010271C4
01024DC2	0175F1
01024DD0	0176F2
01024DE0	017600
01024DFD	013FA1
01024E06	0175FF
01024E0B	0175A5
01024E1F	0175D4
01024E8A	015636
01024EE8	0175EA
01024EF2	017597
01024F29	017678
01024F2A	01767B
01024F37	01767B
01024F50	018FEB
0102502B	013FF5
01025039	018327
01025049	0176E5
0102506A	015B5F
01025070	0176DF
0102507A	019193
01025083	013536
010250E9	01773C
010250F3	0176F1
0102510C	01775F
01025122	0176F8
01025131	01401F
0102516D	0189C6
01025171	017701
010251E1	01776A
01025205	019766
01025219	014033
01025228	017771
01025281	010252B4
010252B4	010252B4
010252BC	0177A0
010252CD	017761
01025312	0177BD
0102531D	01779F
0102533A	0177C5
0102536F	01954C
0102537F	0176FE
01025384	0167AA
010253BF	0177E5
01025417	01782D
0102543A	017825
0102544A	0178BE
01025470	0140AF
010254CB	017814
010254CF	0157ED
010254D3	017891
01025510	0178D5
01025553	016F20
0102555A	018366
01025566	0178D9
01025571	01787C
01025574	01783E
010255F7	018F97
01025616	015934
01025621	017948
0102564A	01796D
0102564D	01795E
010256C5	014102
010256DC	017956
01025731	01795F
01025750	0179C9
01025755	014152
01025762	015229
01025777	018015
010257AB	019ECD
0102583C	0179E6
01025893	016388
0102592F	017A76
0102593E	017A8D
0102593F	017AA3
01025949	015CAB
01025963	0157A3
0102598E	015BBE
0102599C	01580B
010259BD	015BD4
010259CA	015800
010259E2	017E19
010259E8	015BBE
01025A12	017A9C
01025A50	017AA6
01025A60	017AD9
01025A73	015F85
01025AE1	017AFD
01025B16	0176AE
01025B30	01518C
01025B8F	015178
01025BD2	01683D
01025CE6	017B0B
01025D9E	015B42
01025E9E	017CA5
01025EC6	017C9F
01025EE6	01429B
01025F91	017EAF
01025FA0	017EAB
01025FA1	017EDA
01025FA8	017EA5
01025FBA	017EB5
01025FC9	01889C
01025FCC	01888E
01025FD1	017EB6
01025FD3	017EAA
01025FF3	017EC6
01026007	017ECF
01026012	015194
0102601F	017EB1
01026065	01026065
010260B3	017D27
010260B5	017EB5
010260B6	017EEE
010260C5	017EDC
010260E7	0178A7
010260F0	017EF3
01026132	017F29
0102614D	017F27
01026196	017F2D
010261AB	017ED1
010261C4	015121
010261FB	017F13
01026223	014342
01026248	01434B
01026262	014345
010262DA	017F69
010262E7	017F72
01026310	017F79
01026334	017F57
0102633F	01917E
0102638B	018C78
010263A4	0197A3
010263C1	017FB2
010263E0	017F94
010263F2	017FBD
0102641C	017FE0
0102642C	017FD5
0102644A	0165CC
01026474	01879A
01026476	014393
0102648B	017FF0
0102648E	01439A
0102649F	014385
010264B1	018003
010264BF	018006
010264D4	019700
01026515	01582B
0102657C	01804A
010265F7	018071
0102661F	018087
0102663B	018093
0102665B	0180AB
01026669	0180B4
0102666D	0175BC
01026675	018155
01026676	0180A1
010266A7	0143DB
010266C1	018111
01026709	01813E
01026721	017099
01026736	018180
01026769	0180C3
0102676B	018170
0102676D	017C7B
010267A4	0156DF
010267AC	018171
010267DD	01810A
010267E6	01819C
010267EF	01808B
010267F3	0191B5
0102680D	0135C1
010268A7	014445
010268DE	019890
010268EE	015B64
010268FA	01767D
01026900	0181ED
01026903	017687
01026906	014E91
0102690C	0166A8
01026933	0181F3
0102693F	015C4B
01026946	0163E1
01026947	0181FB
01026951	01530A
01026959	0166F3
0102695D	018200
01026967	018D2C
0102699A	015BC5
010269B6	0158E4
010269CA	01542E
01026A22	01446D
01026A31	016D25
01026A85	018247
01026ADC	018D69
01026B21	018403
01026B3C	0182F6
01026B42	0183C5
01026B44	014502
01026B82	0184CD
01026B8F	016B21
01026BBF	01844B
01026BD2	0144A2
01026C44	01026C44
01026C52	0182DC
01026C54	0184D6
01026C64	0183AB
01026CAD	01847A
01026CC3	014511
01026CCA	01026CCA
01026CCB	0144D2
01026CCD	01026C44
01026CCE	018445
01026CDD	01859A
01026CE4	0185E8
01026CE9	01026CE9
01026CF2	01845D
01026CF3	0184C1
01026D2B	018492
01026D2D	0185D0
01026D75	01026D75
01026D87	017E19
01026D88	01451C
01026D96	01863D
01026DAC	018470
01026DDB	0150B0
01026DF2	0184B5
01026DFF	01026D75
01026E00	0185C4
01026E0B	01850A
01026E0E	0183B3
01026E2F	018398
01026E32	0185D5
01026E33	0184D0
01026E35	01026E35
01026E86	01450C
01026E88	01836A
01026E8B	014545
01026E92	0184E9
01026E94	01449D
01026E95	01862C
01026E9D	0185B4
01026EAB	01455E
01026EB3	01858F
01026EC2	01859E
01026EC3	018411
01026EE5	0183F2
01026EE6	018404
01026F0D	017BA1
01026F2A	01026F2A
01026F2B	01026E35
01026F30	0185D2
01026F48	0183B8
01026F5D	0184CF
01026F60	01851C
01026F67	0183A0
01026F69	0163C9
01026F77	01844F
01026F94	0165E7
01026FAF	0183C9
01026FB4	018629
01026FB7	0184FC
01026FC4	01026FC4
01026FC8	018625
01026FD0	014559
01026FE0	0184AE
01026FE1	0185C8
01026FE6	01862E
01027004	01026FC4
01027009	0185FB
0102701B	0185E3
01027026	0184FE
0102703E	01855B
01027084	01840F
01027087	018368
0102708A	0185A4
01027090	0179EF
01027092	014574
01027096	014537
01027099	01856E
010270B0	018369
010270B1	018568
010270B3	018547
010270D7	01452F
010270DA	01453A
010270DC	0185D1
010270EC	014569
010270FA	01026F2A
01027116	018508
01027137	018649
01027141	0159DC
01027149	0185ED
0102714F	0185DC
0102715B	0185CB
0102715C	0185FD
0102715D	0184F8
01027161	014578
01027172	01026CE9
01027173	01457B
0102717C	014586
01027188	0185D9
0102718A	01864C
01027191	0185FF
010271A4	01458A
010271A6	010271AB
010271AB	010271AB
010271BD	014591
010271C1	01864D
010271C3	018668
010271C4	010271C4
010271C7	018658
010271D0	01866A
010271D1	018663
010271E0	010271E0
0102720B	0183DF
01027211	01027211
01027216	01027211
0102721C	010299B6
0102721F	01460C
01027220	0186A4
01027227	01867D
0102722C	018679
01027265	015317
01027275	018685
01027286	0186B9
0102728D	018697
01027296	0187D9
0102729B	0186BC
010272A1	0186E9
010272A2	0186BB
010272A4	018734
010272A7	0186E4
010272AE	0186EC
010272B0	0186DC
010272D9	0187CC
01027312	01872E
0102733F	018742
01027353	0187C0
01027357	01881A
01027358	0186B4
0102735B	0186F9
01027362	01027398
01027367	01878A
01027368	0145AD
01027371	0187B2
0102737D	018798
0102737F	018713
01027380	018725
01027381	0186A7
01027382	01867E
01027397	01874C
01027398	01027398
010273A9	018674
010273B9	010273B9
010273C5	0187AB
010273CD	0186F3
010273CF	0186C6
010273D3	0145DC
010273D5	018794
010273E9	01879D
010273F8	0187AA
01027400	018830
01027404	0187B8
01027407	0187B1
0102740A	0145C5
01027410	01027410
01027414	0145D1
0102741A	0187C5
0102741B	01876E
0102742E	0187B9
01027431	0145E5
01027433	0187B0
01027436	0145E9
01027446	018769
0102744E	010273B9
01027463	0186F2
01027468	0186EA
01027494	0186F7
0102749C	0102749C
010274A6	0186F0
010274AA	018752
010274BC	0187FF
010274BD	0102749C
010274BE	0187F7
010274C9	0186F4
010274CC	018424
010274CE	018795
010274D2	018693
010274DB	0187E5
010274F1	018758
010274F3	0186ED
01027508	018832
01027518	018809
0102752B	018733
01027549	018787
0102754E	0187B6
01027550	0187AC
0102755B	0102755B
01027563	01027572
01027566	0102755B
01027572	01027572
01027573	018803
0102757E	018818
01027580	01883F
0102758B	0187EB
01027599	0186AC
0102759A	018709
010275AD	018841
010275AF	018843
010275C0	014613
010275D7	018844
010275D9	01884B
010275E1	01884E
010275F3	018852
01027602	0151B2
01027623	0188BE
01027624	0188A7
0102762D	01887E
01027637	018878
0102764A	0188C0
0102765F	0188A3
01027665	018971
01027669	0188C2
0102766A	018922
01027688	018900
0102768C	0188C5
0102768D	0188D8
0102769B	0188FB
0102769C	01892B
0102769D	0188C1
010276AE	01027723
010276BA	018937
010276BC	014636
010276D6	01886A
010276DD	014655
010276E0	0188D3
010276E1	018942
010276EA	01027705
01027705	01027705
0102770B	01464E
01027723	01027723
01027725	014638
01027737	01893D
01027744	018966
01027749	01026065
0102774D	014643
01027750	018905
01027756	01465F
01027775	01890B
0102777A	0188A4
01027796	01890D
010277A8	014654
010277AB	0188CB
010277B0	014658
010277B2	01896B
010277B7	018931
010277B8	01895A
010277CA	01896E
010277CE	018969
010277D0	01897A
010277D2	01895B
010277D4	01893F
010277D9	01888A
010277E3	010277E3
010277F6	019738
0102780A	0134BB
01027811	018992
0102781F	01027820
01027820	01027820
01027828	01899B
0102784B	0102784B
0102784C	0102784C
01027861	01468B
0102786C	014681
01027877	01899E
01027879	014683
01027884	01027884
01027886	01468E
0102788F	0102784B
0102789A	0189D0
0102789C	0102789C
0102789E	0102784C
010278A2	0177C5
010278A3	0102789C
010278A6	010278A6
010278A8	01027884
010278AB	010278A6
010278B1	016027
010278B8	014697
010278C2	0189E4
010278F0	014699
01027907	0146A2
0102790C	0189F0
01027914	0146A8
01027918	0146A3
01027926	0146A9
0102792B	0146A6
01027931	0189EA
01027955	0187D5
01027966	018A0F
01027970	0146AE
01027973	018BD7
01027976	018BF3
01027977	018BAB
0102797A	018A07
0102797D	018AC5
0102797E	018BC6
01027992	018BCB
01027998	018AB7
010279AB	018BD2
010279BD	018BCA
010279BE	018BC0
010279C1	0146C4
010279CF	01558F
010279E1	018BBC
010279E7	018A48
010279F0	0146D7
010279F2	018A44
010279FA	017EB0
010279FB	010279FB
010279FF	016559
01027A09	01027AE2
01027A0F	018C0A
01027A1B	018A6A
01027A1D	018BC7
01027A1E	018B11
01027A23	018BB7
01027A28	018C27
01027A2C	018AC0
01027A2D	0176D1
01027A3D	018A42
01027A40	018B3B
01027A42	018C24
01027A50	018AD5
01027A5B	018BE2
01027A60	018BBD
01027A63	014700
01027A6A	018B25
01027A6D	01470F
01027A73	010279FB
01027A7B	018BF9
01027A7D	018C06
01027A9B	0146E9
01027A9F	018ABB
01027AAE	018B23
01027AB3	018AF0
01027AD4	017EB0
01027AE0	018AC6
01027AE2	01027AE2
01027AE7	018C19
01027AEA	018C11
01027AF8	018A56
01027B03	018B45
01027B04	018C22
01027B0C	018AF4
01027B0D	018C2A
01027B13	018B3A
01027B21	018AC8
01027B2D	018AE3
01027B2E	01027B2E
01027B2F	018B07
01027B33	018BD1
01027B51	01027B2E
01027B58	018C31
01027B64	018B08
01027B74	018B5E
01027B7E	01470B
01027B87	014715
01027B8A	01027B93
01027B90	018B94
01027B93	01027B93
01027B9B	018B27
01027BA3	018AA9
01027BA9	018A5F
01027BAE	019621
01027BAF	018C39
01027BB0	018C3D
01027BB7	018C3B
01027BCB	018C3A
01027BD0	014731
01027BDB	0158F4
01027BE0	015245
01027BE1	018C4C
01027BED	018C4B
01027BFF	019F19
01027C42	018C72
01027C4D	01474B
01027C4F	018C59
01027C51	018C60
01027C5B	014752
01027C5F	018C64
01027C71	018C65
01027C74	01733D
01027C7F	01027D04
01027C8C	01474A
01027C8F	018C69
01027C90	018C70
01027C94	01027C9D
01027C95	01474F
01027C9D	01027C9D
01027C9E	01027C9D
01027CB1	013E67
01027CB2	0172D0
01027CC5	013E6C
01027CC7	018C89
01027CD4	018C86
01027CE0	018C8F
01027CE1	013E6C
01027CED	01876F
01027CF2	018C92
01027D04	01027D04
01027D39	018D33
01027D44	018694
01027D45	018686
01027D47	018CBE
01027D4E	018D3E
01027D69	018D23
01027D6A	018D3C
01027D6E	018D36
01027D85	018D3F
01027D99	0180CC
01027D9B	018D49
01027D9E	018720
01027DA1	015B93
01027DB3	01476A
01027DB4	018D4C
01027DB6	018D29
01027DBB	018D38
01027DBD	018D50
01027DC9	018CDD
01027DD5	018D44
01027DE0	018D19
01027DE4	018D5C
01027DFC	018D06
01027E06	018D58
01027E0A	018D2D
01027E11	018D60
01027E16	018D5A
01027E18	018D09
01027E1A	018D42
01027E37	018D15
01027E52	014E70
01027E5E	018D67
01027E79	0170BD
01027E87	018D73
01027E9E	014798
01027EBB	01027EBB
01027EC0	0147A3
01027ECE	018D86
01027ED3	01027ED3
01027EDB	018D79
01027EE7	0147A3
01027EEF	018D7D
01027EFB	018D97
01027F0F	01027EBB
01027F18	01479A
01027F1A	0147D2
01027F1E	01027F1E
01027F32	01027ED3
01027F52	014817
01027F62	01640F
01027F64	01027F64
01027F70	0147C2
01027F78	01027F1E
01027F8B	0147C3
01027F92	018D80
01027F9F	018DAF
01027FA2	0147CC
01027FA8	01022598
01027FAB	0147CD
01027FB4	01027F64
01027FC1	015216
01027FC4	018E11
01027FD6	018DEB
01027FDB	018E2A
01027FF6	018DCE
01027FFA	018D89
01028013	018DD1
0102801F	018E31
01028040	018DFE
01028048	018FD2
0102807B	018E40
010280A7	018E82
010280AB	018DC5
010280DD	018DFF
010280DF	018E52
010280E1	018DFD
01028103	018E85
01028119	018DFC
0102814C	01542A
01028154	01028155
01028155	01028155
0102815D	014806
01028162	018E73
01028175	018E0F
01028176	018E81
0102818D	018E90
010281AE	018E16
010281AF	018E7C
010281CB	018E50
010281DA	018E6A
010281E5	018E47
010281E8	018EA0
010281F0	01482A
010281F1	018E41
010281F3	018E74
0102822C	018EAF
01028235	018DDB
0102823B	0181EA
01028257	018EC9
010282A0	018ED3
010282AF	018ED8
010282B5	018EE5
010282B6	018EF5
010282BA	018EE9
010282BE	018F8B
010282CF	018F78
010282D4	014870
010282E9	018F39
010282FC	0165A1
01028302	018EE0
01028307	018F74
01028323	018EDC
0102832E	018EE7
0102832F	018F0D
01028332	01028332
0102834B	018F20
0102834C	01028332
0102836A	010283C8
0102836C	018F43
0102836F	01485E
01028373	018F7A
0102837B	018F87
01028385	018F2C
0102838A	018F8A
01028395	018F57
010283A6	018F47
010283A8	018F52
010283A9	018F04
010283AA	018F00
010283AF	014868
010283B2	018F82
010283C8	010283C8
010283CA	018F5E
010283CF	018F9A
010283D1	018F7E
010283D2	010283D2
010283D4	018F98
010283D9	018F58
010283E3	018F99
010283F2	010283D2
010283FE	01487E
0102840C	018F9B
0102842B	018B6C
0102844D	018F68
01028450	018FC4
0102845E	018FCD
01028466	015F90
01028477	018FC5
0102848E	019044
010284A6	018FCE
010284B2	018DFB
010284C6	019000
010284D8	01900C
010284DC	019038
010284E7	019065
010284EC	01905D
010284F5	019001
0102851C	018FFE
01028524	01906B
0102852A	018FD0
0102855D	01900B
01028589	019074
0102858A	0147C4
010285A5	01906E
010285BD	019057
010285C0	01902A
010285D5	019075
010285DD	019079
010285EF	019068
010285F9	017B1B
01028611	018FDE
01028624	019057
