01020003	014E14
01022012	015DF1
0102201A	015DE5
0102203D	018D77
01022053	018C55
0102205B	016BBA
01022087	015E1D
01022091	0162ED
010220C1	017D66
01022116	017570
010221EF	015E9C
0102220E	015E83
01022256	019E7F
01022259	015EB6
010222BB	01907C
010222DB	019F3B
01022313	015ED3
01022342	019F3B
01022357	018A00
0102235C	015C0A
01022381	016B66
01022387	01707D
010223BA	015F26
01022405	015F31
01022472	015F5D
01022495	018AF8
0102249B	015909
010224C9	018FD4
010224F6	01901A
01022500	014FB5
0102257E	01907F
010225CD	015FD7
01022617	0181E3
01022649	0160A9
0102264A	016063
01022662	016050
01022683	0152A3
01022687	0172C2
01022689	016068
01022690	0160A0
010226B0	0160A9
010226C2	0160BC
010226C7	018B90
0102273A	0154C0
01022772	016101
01022836	0160A3
01022846	0161C7
0102287D	0160DC
010228A7	018B90
010228F6	01601C
010229A1	01611F
010229A9	016210
010229D0	016226
01022A37	016240
01022A4C	0180A9
01022ABB	01627F
01022AE6	0162CD
01022AFD	016291
01022AFE	016307
01022B0C	01629C
01022B34	016442
01022B38	0162EC
01022B40	0165CB
01022B43	0177ED
01022C07	016328
01022C73	0163EE
01022C8E	01642C
01022CBB	0164AE
01022CC0	016469
01022D03	0162E0
01022D23	015897
01022D44	0163AA
01022E6C	0164C1
01022EF3	016276
01022F1C	018D66
01022F8D	016556
01022F99	0163DA
01022FE0	019F16
010230A2	0165AD
010230BA	0165B0
01023101	0153D7
01023103	0165D7
01023133	01821E
01023140	0165E8
0102315C	017686
0102316F	01663C
0102317C	0165E9
0102319C	016627
01023206	01664B
0102320D	017573
010232A3	018204
0102335D	01821F
0102339C	015B55
010233C2	016BBA
010233D0	016753
010233DD	016795
010233F9	01707D
010233FD	01679A
01023431	0167D4
01023436	0162D0
01023437	0162D0
0102346D	0167F5
0102346F	016843
01023471	0167D3
01023580	016897
010235F3	016A39
01023694	018204
01023698	0172A0
01023726	015C0E
010238B8	016B3E
010238D3	016B20
01023948	014F1A
0102394D	018FD1
01023957	015C11
010239B8	016B7B
010239E9	017D42
01023A46	0151A5
01023A47	018150
01023A85	016BB4
01023A86	016BBA
01023A96	016BBA
01023AA9	016BBA
01023AED	016BCE
01023AF9	017447
01023C75	016C38
01023C94	016CE3
01023CB4	016CB8
01023CDA	016CA1
01023CE5	016E21
01023D11	016D41
01023D29	016D5C
01023D32	016D74
01023D34	016D77
01023D5E	016EB6
01023D7D	016C83
01023D83	016F6E
01023E15	016C34
01023EAF	016E7F
01023F1C	016DF9
01023F45	016D3B
01023FD1	016E2F
01024084	016E2C
0102414C	016FC3
0102418C	01708E
0102418D	018D64
0102418E	01707D
010241B2	01707D
010241E1	017384
010241F4	017199
0102422E	01707D
01024263	01707D
010242EE	017199
010242F0	0152A9
010243B9	017199
010243C1	017199
01024424	017199
0102442B	017968
01024522	016414
0102457A	0175BE
010245B2	0167AF
01024608	017259
01024634	017267
01024657	0165B9
01024668	01675F
0102468C	017280
01024751	0172AF
010247D7	01733F
01024815	01755C
0102489A	017363
0102489C	0172EC
010248F5	017396
010249A6	0173ED
01024A14	0174B0
01024AE9	0173B2
01024B2E	0174F6
01024BD3	01751F
01024BD4	014EBA
01024C06	017528
01024C1E	015351
01024C34	015A01
01024C35	01754F
01024C36	017533
01024C71	018F09
01024DD0	0176F2
01024EF2	017642
01024F2A	01767B
01024F32	01767A
01024F35	01767A
01024F37	01767B
01024F50	018FEB
01025022	019F16
01025039	018DBC
01025044	0176C2
01025070	0176DF
010250AF	0183F9
010250E9	01773C
010250F3	0176F1
01025122	0176F8
0102516D	018996
01025171	017701
010252CD	017761
0102537F	0176FE
010253BF	0177E5
010253F5	017624
010254CB	017814
010254D3	017891
01025553	016F20
01025614	01707D
01025616	01982D
0102564A	01796D
0102564D	01795E
010256DC	017956
01025757	018291
01025762	015229
01025777	018015
01025877	017A4F
01025893	016388
0102592F	017A76
01025963	0157A3
0102598E	018CD3
010259CA	015800
010259E8	018CD3
01025A73	015F85
01025B16	0176AE
01025B30	01518A
01025B8F	015178
01025BD2	01683D
01025D8E	0183F9
01025DDF	0183F9
01025E6A	017CDD
01025ED5	017CDD
01025F3E	017CDD
01025F86	017CFE
01025F91	017D14
01025FBA	017E26
01025FD3	017D00
01025FF3	017D30
01026007	017D4C
01026065	019EF9
010260B2	019EF9
010260B3	017DCA
010260B5	017E26
010260C5	017D61
010260F0	017E04
01026132	017E2E
01026167	019EF9
010261DA	015F5D
010261FB	017DE9
01026247	0174F6
010262B0	017F65
010262C0	017F65
010262E7	017F72
01026304	017F65
01026310	017F79
01026334	017F85
01026336	017F65
0102633E	017F65
01026343	017F65
01026346	017F65
0102635B	017F95
010263F2	017FBD
010264A1	017FFA
010264A2	017FFA
010264B1	018003
010264D4	019700
01026675	018155
01026676	0180A1
010266C1	018133
01026709	01813E
01026721	017099
01026769	0180C3
0102676B	018170
0102676D	01985E
010267A7	017624
010267DD	01810A
010267E6	01819C
0102681D	017624
010268EE	015B64
010268FA	01767D
01026900	0181ED
01026903	017687
01026906	0196F2
01026913	019F3B
01026933	0181F3
0102693F	015C4B
01026946	0163E1
010269B6	0158CC
01026A31	016D25
01026A85	018247
01026B0A	018291
01026B3C	0185BE
01026B8F	016B21
01026BD3	0183F9
01026BED	01831D
01026BF1	01831D
01026BF8	018291
01026CCE	0183F9
01026D54	0183F9
01026D9C	01831D
01026E06	018291
01026E2D	018323
01026E4A	018323
01026F2C	0183F9
01026F94	0165E7
01026FB1	016284
01026FB7	0184FC
01026FD8	0183F9
01027009	0185FB
0102703D	0183F9
01027055	0184F1
01027090	017A4D
0102709A	0183F9
010270B2	0183CA
010270C8	0183CA
010270D3	0183CA
01027117	0183F9
01027205	018669
0102722C	018679
01027265	015317
01027332	018718
01027337	018786
01027409	018718
010274CC	0186CD
010275CE	0183F9
010275D8	0183F9
01027602	01885D
01027669	0188C2
0102768C	0188C5
0102769D	0188C1
010276E2	019EF9
01027749	019EF9
010277F6	018987
010278AE	014695
010278B1	016027
01027966	018A0F
01027973	018A69
0102797E	018B58
010279BD	018A3A
010279E1	018A1F
010279FF	016559
01027A2D	0176E3
01027B04	018B1D
01027B33	018A33
01027B58	018B5C
01027C5A	018C5C
01027C80	018C5C
01027CA8	018C5C
01027D69	018CAC
01027D6A	018CCA
01027D85	018CC4
01027D99	0180CC
01027DB4	018CED
01027DB6	018CA9
01027DBB	018CBF
01027DBD	018CDC
01027DD5	018CC7
01027E03	01907A
01027E0A	018CFC
01027E11	018D08
01027E1A	018CC2
01027E2F	01907A
01027E3D	01907A
01027E52	018CB7
01027EAB	018D77
01027FDB	018E2A
01028175	018E0F
010281B2	017A4F
010281F3	018E74
0102823B	0181EA
01028246	018106
01028247	01707D
01028289	018106
010282FB	0155AB
01028307	018EF8
0102840C	018F9B
0102844D	018ECC
01028453	018D77
01028454	018D77
01028456	018D77
01028466	015F90
01028477	018FC5
010284A6	018FCE
010284B2	018FF7
010284C6	019000
010284CC	01707D
010284DC	019038
010284F5	019001
0102852A	01904B
0102859D	019706
010285A5	01906E
010285BD	01907A
010285D2	019706
010285D4	01907A
010285D5	019075
010285E0	019706
010285ED	01907A
010285EE	01907A
010285F9	017B1B
01028611	019023
01028624	01907A
0102868F	0190B8
010286E6	0190E1
010286F7	0190FD
0102872E	01537F
01028765	0190CE
01028784	0190F5
01028820	019192
0102882A	019154
01028880	019175
010288BD	019178
0102894F	0191DC
01028CFE	017950
01028D77	0195B6
01028D9D	01587E
01028E0F	01961C
01028E18	01962E
01028E1D	016C0F
01028E4E	019650
01028EB5	01968A
01028EF6	019699
01028F80	0196B7
0102900C	0196E2
01029015	018B90
01029021	0196E3
010290EC	019670
0102912B	019706
01029145	016EC2
01029186	019706
0102927C	017D33
010292A6	0172E9
010292BF	018204
01029346	018204
0102940A	0197F2
01029486	019802
0102949B	01621A
010294B5	019803
010294CB	01983C
01029516	01985E
0102951A	017FC1
01029530	019855
01029553	019810
010295CB	015E06
01029681	0198DF
0102968E	0198E2
010296B7	017C92
010296CA	0198FD
01029810	019996
010299BC	0199F1
010299D1	010299B3
010299EA	010299B3
01029A23	0180AA
01029A43	015E79
01029C6C	016DCB
01029D4B	019B5A
01029FC7	0196C7
0102A4F3	018718
0102A505	0154E1
0102A52B	019F16
0102A535	019F16
0102B592	0197E0
0102F800	019E97
0102F801	014E38
0102F802	014E41
0102F805	014FAE
0102F807	014F75
0102F809	015099
0102F80A	0150E7
0102F80B	0150CF
0102F80C	014FCA
0102F80E	01514D
0102F80F	01514E
0102F811	015177
0102F814	015185
0102F815	01518D
0102F816	01518A
0102F817	015197
0102F818	0151A4
0102F819	016C37
0102F81A	0151AC
0102F81B	016CC1
0102F81D	0151F5
0102F81E	015203
0102F820	01523B
0102F822	015272
0102F825	0152C7
0102F826	0152C9
0102F827	0152E4
0102F828	0152FA
0102F829	015305
0102F82A	015306
0102F82B	015317
0102F82C	015349
0102F82D	015351
0102F82E	01535A
0102F82F	015373
0102F830	015373
0102F831	01537F
0102F832	01537F
0102F833	01537F
0102F835	017070
0102F836	0153CA
0102F837	0153DF
0102F839	0153EB
0102F83A	0153F1
0102F83D	015438
0102F83E	015448
0102F83F	015468
0102F840	0154A2
0102F842	015510
0102F843	015553
0102F844	015563
0102F845	015584
0102F846	015584
0102F847	015599
0102F848	0155AB
0102F84B	0156F3
0102F84C	015606
0102F84F	015674
0102F850	015207
0102F851	0158EE
0102F852	0157CE
0102F853	0157F4
0102F855	01578B
0102F857	015831
0102F85A	0158F2
0102F85B	0158FA
0102F85D	01591A
0102F85E	015922
0102F85F	015962
0102F862	0159EB
0102F863	015A2F
0102F866	015A66
0102F867	015AC2
0102F86A	0161F6
0102F86B	0161F6
0102F86D	0151A4
0102F86F	015BE7
0102F870	015B9D
0102F872	015BFF
0102F873	015C06
0102F874	015F53
0102F875	015C22
0102F877	015C60
0102F878	015C6E
0102F881	015DE1
0102F882	015DE3
0102F884	015DFD
0102F886	015E3D
0102F88D	015EB6
0102F88E	015ECA
0102F890	015EFE
0102F893	018201
0102F898	015F5D
0102F899	015F62
0102F89A	015F6B
0102F89D	015FCD
0102F89E	015FD7
0102F8A1	01614C
0102F8A3	016094
0102F8A5	0160C7
0102F8A6	016148
0102F8A7	01614C
0102F8A8	01614E
0102F8A9	01614C
0102F8AB	01618E
0102F8AC	0161B2
0102F8AD	0161A4
0102F8B0	0161F2
0102F8B1	0161F6
0102F8B2	016210
0102F8B3	01621B
0102F8B5	0162B1
0102F8B6	01629C
0102F8B7	016350
0102F8B8	01629C
0102F8B9	01633D
0102F8BB	016368
0102F8BC	016383
0102F8C1	0163A9
0102F8C3	016469
0102F8C6	016284
0102F8C8	01654F
0102F8C9	01656C
0102F8CB	0165E2
0102F8CC	0166F8
0102F8CD	01664B
0102F8CF	016691
0102F8D2	015192
0102F8D3	015195
0102F8D4	016700
0102F8D5	01666E
0102F8D6	0180AD
0102F8D8	016717
0102F8D9	01671B
0102F8DB	01675E
0102F8DC	016753
0102F8DF	0162D0
0102F8E0	016785
0102F8E1	016851
0102F8E2	016885
0102F8E3	0167F5
0102F8EA	016982
0102F8ED	016ADB
0102F8EF	016B21
0102F8F1	016B54
0102F8F3	016B73
0102F8F5	016BBA
0102F8F6	016BBB
0102F8FA	016C4E
0102F8FC	016CBF
0102F900	016D3E
0102F901	016D77
0102F902	016D41
0102F903	016D69
0102F904	016D78
0102F905	016D85
0102F908	016E2F
0102F909	016E6E
0102F90B	016ECB
0102F90E	016DF9
0102F90F	016F6E
0102F912	016FC6
0102F914	01701E
0102F915	01701B
0102F918	01707D
0102F91A	0170AD
0102F91C	01935B
0102F91D	01707D
0102F920	017228
0102F921	017235
0102F922	019598
0102F923	017259
0102F924	017280
0102F928	01737A
0102F929	01738B
0102F92B	0173A5
0102F92E	017447
0102F92F	01745C
0102F930	017471
0102F931	017485
0102F932	0174CA
0102F934	018564
0102F935	017533
0102F936	01753E
0102F938	017570
0102F93A	017610
0102F93D	0176C2
0102F940	0176F4
0102F941	0176F1
0102F945	01771F
0102F946	01771F
0102F947	01771F
0102F948	01774A
0102F949	014039
0102F94A	01778B
0102F94C	0177F3
0102F94E	01784E
0102F94F	01788C
0102F953	017956
0102F956	01798F
0102F959	017A40
0102F95B	017A4F
0102F962	017BC6
0102F963	017BC9
0102F966	017CD2
0102F969	017CDD
0102F96A	017D00
0102F96B	017CFE
0102F96C	017D63
0102F96E	017DC7
0102F96F	017DCF
0102F970	017E45
0102F973	0174F6
0102F976	017F7A
0102F977	017F65
0102F978	017F95
0102F979	017FFA
0102F97A	018005
0102F97D	018060
0102F97F	018061
0102F981	0198EA
0102F982	0180B2
0102F983	018106
0102F985	01813E
0102F987	017624
0102F98A	015B55
0102F98B	018201
0102F98C	018204
0102F98D	018F9E
0102F98F	018291
0102F990	01828B
0102F991	01829D
0102F992	0152B4
0102F993	0182B1
0102F994	0182B3
0102F995	0182BD
0102F996	0182E6
0102F997	0185BE
0102F998	0182E5
0102F999	01831D
0102F99A	016804
0102F99B	017BC0
0102F99C	018323
0102F99D	0183BD
0102F99F	018457
0102F9A0	018353
0102F9A1	0183CA
0102F9A2	0183CC
0102F9A3	0183DC
0102F9A7	01852C
0102F9A8	0184F1
0102F9A9	0184F3
0102F9AC	018564
0102F9AD	0183F9
0102F9AF	014561
0102F9B0	016284
0102F9B3	018650
0102F9B4	01865C
0102F9B6	018669
0102F9B7	0186A9
0102F9B8	018688
0102F9B9	01870E
0102F9BC	018776
0102F9BD	01870D
0102F9BE	018786
0102F9BF	018688
0102F9C1	018801
0102F9C2	018786
0102F9C3	018860
0102F9C4	018863
0102F9C7	0188DE
0102F9CB	014695
0102F9CC	018A0F
0102F9CF	018AA0
0102F9D0	018AED
0102F9D1	015909
0102F9D2	018C55
0102F9D3	018C5C
0102F9D4	018CAB
0102F9D5	018CC1
0102F9D6	018D1B
0102F9D7	018D77
0102F9DA	018DCB
0102F9DB	018DBC
0102F9DC	018DF0
0102F9DD	018ECD
0102F9DE	018ED4
0102F9DF	018F38
0102F9E0	019706
0102F9E1	01907A
0102F9E3	0190F1
0102F9E5	01537F
0102F9E6	01911B
0102F9E7	019238
0102F9E8	0192D7
0102F9E9	0192D8
0102F9EA	01927C
0102F9EB	0193F9
0102F9EC	019415
0102F9EE	01958B
0102F9F0	016BBA
0102F9F1	0195B6
0102F9F2	01912C
0102F9F4	015DB2
0102F9F5	019723
0102F9F6	016EC2
0102F9FA	0197E0
0102F9FB	0197F2
0102F9FE	019867
0102F9FF	019867
0102FA00	019829
0102FA02	0198E2
0102FA07	0199FE
0102FA08	019AAD
0102FA0A	019B12
0102FA0D	014CCE
0102FA15	019EBB
0102FA17	019EF9
0102FA18	019EFD
0102FA19	018718
0102FA1A	019F0F
0102FA1B	019F16
0102FA1C	019F3B
013405	014E94
013430	014FE1
013433	015140
013442	015023
013444	014FAE
013474	014FB5
013477	01614B
01347A	014FCA
01349A	017A4F
01349E	014FCA
0134A8	014ED9
0134B2	018CA1
0134B3	014E21
0134B6	01516C
0134CA	016D1E
0134D5	016EC5
0134DB	01529F
0134DC	015E7C
0134DD	015211
013503	017D76
01351C	0152C3
01353A	014E16
013555	015E7B
013556	017D20
01355A	01722A
01355B	0153CB
01355C	0153F2
01355E	015237
013560	0153CC
013565	014EE5
013581	01541D
0135A0	0190A3
0135BE	0154A2
0135CB	015589
0135FD	0197FF
013605	015563
01362B	015883
01362F	015834
01367C	015841
0136A2	015974
0136DB	015A20
0136EE	015AC2
0136F0	015A5A
013711	015A46
01373D	015B50
013740	01597D
013749	015BA3
01374A	015B88
01374D	015199
013756	015B9C
01375B	015BBF
013761	016700
013762	015B87
013767	017A4F
013777	015C0B
013791	015C3E
0137A1	015C55
0137C1	015CB8
013800	015CF6
01382D	015C55
013836	015E06
013873	015E95
01387F	0165A5
013898	015EC9
0138B4	01897F
0138BD	01990C
0138CB	014E39
0138EB	0152D5
0138F2	015FAE
0138FC	015FCD
013900	015FD8
013902	016025
013903	0159A8
013905	01611B
013919	016069
01391F	016050
01392A	016028
01393A	01614C
013967	019806
01396B	0160C7
0139BF	016238
0139FC	014FF5
013A23	0164C1
013A2F	0162E1
013A3F	0162E0
013A40	0162E0
013A57	01643A
013A66	01643A
013A70	016284
013A85	0166F4
013AC1	0165AD
013AC5	0165D7
013AD1	0165E8
013AE7	0166B4
013AEA	016625
013AFA	016614
013B0C	01666F
013B1C	01664B
013B25	0166B4
013B27	0166B4
013B31	0166FF
013B4A	016790
013B4B	0168D2
013B4D	0167D2
013B8E	01676F
013BA3	016982
013BDF	019E93
013BE6	0168CB
013C4F	016B63
013C55	015E30
013C7F	016BBB
013CBE	0196E8
013CC2	016CBF
013CC5	016D41
013CD2	016CD5
013D05	016D88
013D06	016D78
013D09	016E08
013D71	016F02
013DAB	0171CE
013DB3	0171FC
013DD6	017167
013DD9	01714E
013DE9	017199
013DF1	01718A
013DFB	017121
013E18	014E07
013E60	018C5A
013E9A	01737A
013F56	017559
013F57	01755D
013F5E	017559
013F6C	018F3B
014006	015C3D
01400B	015869
01405E	017701
014093	01898F
014096	0177F3
0140CD	01589C
0140FA	0178E8
014100	01798D
014115	01793E
014122	016589
01412B	018291
01412C	0179FB
01412D	015E74
014192	017A76
0141A9	0151A5
01427C	016599
01428F	017CDD
0142B7	017DC7
0142C4	017DB2
0142DE	017DB2
0142E0	0188DC
0142F2	017E04
0142F9	015E45
014307	017D22
014309	017DB1
014313	017E41
014348	0174F6
014369	01990A
0143B9	01805E
0143CB	017C9B
0143D4	018098
0143D5	0198EA
0143FB	0180FD
014452	015230
014453	0153F0
014483	019020
0144AD	017B49
0144B1	0184B8
0144B6	015929
0144C1	017B49
0144CA	018323
0144E6	015178
01450D	017BE4
01452B	01852C
014568	0185E4
01456E	0183CA
01458B	018650
01458F	0151E6
0145AE	018801
0145D7	018688
0145F9	018786
014607	01868A
014619	01885B
01461A	015352
01461C	015DFE
01462E	0155AA
014631	0188D5
01469E	016B79
01469F	016B79
0146B1	014FE1
0146D0	018A5E
0146D2	015F01
0146E1	018A71
0146E6	018A1F
0146E7	018B0E
014718	018B66
014768	018CE2
01477E	018CE6
01477F	018CB4
0147AC	01900F
0147E6	018DCB
01482E	019A30
014832	018046
014836	015C04
014839	019AB8
014856	018EFD
014889	018FB2
01489C	015E30
01489F	017531
0148A0	019001
0148A4	018FF0
0148A6	015E25
0148AB	01968F
0148B7	0190A3
0148CC	0190B8
01491C	01920D
014931	018A93
014945	017434
014946	017434
01495A	01521D
014999	015BFA
01499F	017A4F
0149B7	017A4F
0149CD	019699
0149D5	0157DF
0149D9	019675
0149E6	01912C
014A07	0153CC
014A13	0196F7
014A29	01970A
014A2E	0196EA
014A36	019723
014A7F	019F16
014AA0	0197F2
014AA1	0197F2
014AA2	0197F2
014AF7	01984E
014B4B	0198FD
014B6B	017A3D
014B6C	017A3D
014B7E	0199C4
014B83	0199C6
014BBE	010299B3
014BCE	019AAD
014BD0	019AB8
014BDD	019AC4
014C1F	019B42
014C28	019B45
014CFD	019DB4
014D21	019E97
014D79	018718
014E04	014E0A
014E05	014E0B
014E13	015C02
014E17	014E16
014E1A	01696D
014E1C	016771
014E1D	017CF8
014E20	015180
014E24	014E21
014E25	0153B3
014E27	0155AA
014E2A	01500B
014E30	018C4A
014E34	0181E8
014E3A	0170BA
014E3D	019E97
014E3E	016319
014E46	014E45
014E49	017FA9
014E50	01697D
014E55	01864E
014E58	014E57
014E60	017FD2
014E61	0190F7
014E66	0166F8
014E68	0159CB
014E70	018CB7
014E79	014E7E
014E7F	016CBB
014E81	014E7E
014E82	014E71
014E8A	014E8B
014E97	016B73
014E9A	014E9C
014E9D	016589
014E9E	014E9C
014EA7	017523
014EA9	01755D
014EAF	014EAB
014EB0	014EAC
014EB1	01591C
014EB2	0189AA
014EBE	014EA1
014EBF	015104
014EC5	0150C5
014ECC	016C37
014ECE	015F93
014ED3	015009
014EEA	015100
014EF7	014FA1
014EFE	014F4E
014EFF	015023
014F17	018846
014F18	01512A
014F1E	015098
014F1F	015049
014F20	014F1D
014F24	0150B7
014F26	01502B
014F29	014FE1
014F2A	01507D
014F2E	0152AA
014F40	014F3C
014F4B	01662D
014F5B	014ECF
014F82	018A17
014F86	016765
014F8C	019670
014FA3	014FB6
014FA6	015075
014FA7	015074
014FBD	017537
014FD6	01500D
014FDE	01516A
014FED	015039
014FFB	015099
015002	014F75
01503A	0150B5
01503C	015024
01503E	0150BE
015040	0182F1
015041	0179F0
015047	014EEE
015069	018CA0
015079	015099
01507F	01511F
0150B3	014F1D
0150DE	01507D
0150F2	014ED9
0150F9	014FA1
015101	014FCA
015109	015039
01512B	018C6A
01513F	015150
015152	015150
015154	01514E
015166	014EA1
015167	015185
015169	014E21
015170	01862D
015173	0195A2
015174	018208
01517B	01990A
01517D	017363
01517E	015180
01517F	0182B8
015183	015E3D
015188	015CA1
01518C	01518A
015190	015192
01519B	018ECD
01519C	018FB2
01519D	015B9C
0151A1	018499
0151A2	01585A
0151A3	016700
0151A8	015BCC
0151A9	015199
0151AB	016C37
0151B0	016C37
0151B1	0151B4
0151B2	016C96
0151B3	016C7A
0151B5	016CC1
0151BB	0151CD
0151C9	016DBC
0151CF	016E1B
0151D6	016E96
0151DE	017199
0151E8	0198A8
0151FB	016483
0151FC	015E7D
015202	015200
015204	015203
015218	015289
015219	015247
01521A	01525B
01521B	015275
01522B	015225
015242	015264
01524E	015239
015251	015263
015265	01525D
015267	015287
015269	015270
01527F	0152E6
01528B	0152E6
01528D	015263
015291	015264
01529D	0152E7
0152A1	0152D9
0152A2	0152B1
0152A8	0152D5
0152B3	0152B4
0152BF	0152E2
0152C4	01654F
0152C8	0152C7
0152CB	0152F2
0152D0	01731B
0152DB	0152F2
0152DE	0152B4
0152E3	017E3E
0152F3	0152F2
0152F5	0152B1
0152F8	0152E7
015307	015306
01531E	015320
015338	01653E
015340	01533A
015346	015352
01534B	014E16
01534E	0183EF
01534F	015354
015355	015358
015356	0158F2
015365	01897F
01536B	01885B
015377	015DFB
01537B	015374
01537D	015373
015380	01819D
015385	015E81
01538B	015727
01539B	015E81
0153AF	016B74
0153B5	016E90
0153BA	0153BB
0153BF	01770C
0153C1	0153C2
0153C3	0153C2
0153D3	014E8B
0153D8	015909
0153DC	0153DF
0153E0	017573
0153F6	018449
0153F9	015606
015413	015687
01542C	018074
01542F	015553
015433	015449
015434	015449
01543F	01544A
01544C	0153EB
015457	015504
015458	0154E1
015463	018B00
01548A	01548C
01548F	018A60
015492	01546A
0154CD	0197FF
015524	01559A
015554	015553
01555F	015553
015568	0160C5
01557A	015510
0155AE	015358
0155B7	015674
0155BB	0155A9
01562B	017136
015644	0155AB
01564F	015438
015650	015668
015656	01541F
0156B4	0153B3
0156D1	015631
0156D8	0156DE
0156D9	0156E0
0156E2	0156E3
0156ED	015712
0156F4	0156F2
0156F8	0165E5
0156FC	0180CE
0156FE	0156F3
015706	015186
015708	01570F
01570B	0156FD
01570D	0156F2
015713	015186
015716	0156F3
015718	0156E3
015721	01571F
015723	018056
015735	0158CC
01573A	015834
01574F	0158CA
015753	01578B
015754	015730
015757	01584A
01575A	015805
01575B	0158C7
01575F	0158B3
015760	01589C
01577F	019644
015792	015841
015796	015806
0157A6	0158BE
0157BE	015CB8
0157C0	015782
0157C5	019632
0157DC	0191CE
0157F0	0191C7
0157FD	016383
015826	01968E
015850	015851
015866	019663
01586B	015861
015872	015834
015896	015854
01589E	015897
0158AE	015815
0158B0	0158C7
0158D0	0174BD
0158D3	015727
0158D8	015841
0158DC	0158C7
0158DE	0158CA
0158E4	0158CC
0158EF	0158EE
0158F3	016BBB
0158F6	0158FA
0158F7	0158FA
0158F9	0158F1
0158FB	015A7F
0158FD	015BFF
015900	015BFF
015904	0151E6
015905	01964D
015907	015099
01591B	01591A
01591D	016674
015923	015922
015934	01982D
015936	016BD4
015938	018A87
01593A	01596A
01594B	01596E
01594C	0170B9
015953	015962
015956	015968
015967	015965
01596C	015968
015986	017CA7
015987	015A66
015992	0159AC
01599D	017CA7
0159CA	0159C9
0159D9	01598A
0159EC	0159EB
0159F8	01598D
015A1B	015A2F
015A24	017CA7
015A31	015A2F
015A63	0159FB
015A87	0189AA
015A8D	015A66
015B3E	0161F6
015B43	015B22
015B59	015B6B
015B60	0155E3
015B61	0180CE
015B78	015B66
015B81	015BE7
015B82	015197
015B8D	018089
015B9E	015B9F
015BA1	015BE9
015BAA	0161B2
015BB2	015B9F
015BBB	015BC6
015BBD	015BDB
015BBE	018CD3
015BC3	0151A4
015BCF	019662
015BD1	015BDD
015BDC	015BE7
015BE2	015BDD
015BE6	015B9F
015BEB	015199
015BEC	015BDB
015BF3	015B9D
015BF6	015B9D
015BF9	015BFE
015BFB	015C0B
015BFC	015C0E
015C07	015C06
015C08	015C02
015C0D	015BFE
015C19	015C1A
015C1E	0171CE
015C28	017ADC
015C42	015C64
015C46	015C4A
015C6C	015C5E
015C81	016B73
015C9A	015D50
015C9B	015CF6
015CAD	015DBA
015CEF	015CF0
015CFD	015CE1
015D08	015D07
015D18	015D19
015D57	016B73
015D5C	015D0E
015D8B	015CF6
015D8C	015CF6
015DBD	015CB3
015DC2	015DB2
015DE2	015DE3
015DFA	015DFD
015E01	015E63
015E05	015E25
015E08	015E2B
015E0B	017D19
015E10	015E33
015E12	01888B
015E26	015E2F
015E36	015E2F
015E64	015E63
015E76	014E26
015E77	014E26
015E7F	015E83
015E84	018358
